method,path,line,function,auth,roles,request_model,response_shape,db_tables_touched_static,external_integration,frontend_callers,coverage_status
POST,/price-monitor/{source_id}/price,6106,manual_price_update,AUTHENTICATED,any authenticated,source_id:int; payload:ManualPriceUpdate,dynamic JSON/HTML/FileResponse,"price_history, price_monitor_sources, suppliers, users",none detected in handler,index.html:26081 (manualPriceUpdate),NOT TESTED
GET,/product-deletion-requests,4199,list_product_deletion_requests,AUTHENTICATED,admin,query/path params or none,dynamic JSON/HTML/FileResponse,"product_deletion_requests, products, users",none detected in handler,index.html:26492 (renderProductDeletionRequests),NOT TESTED
POST,/product-deletion-requests/{request_id}/{resolution},4205,resolve_product_deletion,AUTHENTICATED,admin,request_id:int; resolution:str,dynamic JSON/HTML/FileResponse,"product_deletion_requests, products, users",none detected in handler,index.html:26507 (resolveProductDeletion),NOT TESTED
GET,/products/,4011,list_products,AUTHENTICATED,any authenticated,limit:int; offset:int; warehouse:Optional[str]; stock_status:Optional[str],dynamic JSON/HTML/FileResponse,"products, users, warehouse_stocks",none detected in handler,index.html:24388 (loadInventoryView); index.html:25058 (runLoadData); index.html:25464 (handleCreateProduct),NOT TESTED
POST,/products/,4085,create_product,AUTHENTICATED,staff,data:ProductCreate,dynamic JSON/HTML/FileResponse,"business_profile, products, users, warehouse_stocks, warehouses",none detected in handler,index.html:24388 (loadInventoryView); index.html:25058 (runLoadData); index.html:25464 (handleCreateProduct),NOT TESTED
GET,/products/financial-intelligence,4307,financial_intelligence,PUBLIC,none,query/path params or none,dynamic JSON/HTML/FileResponse,"business_days, business_profile, products, sales, users, warehouse_stocks",none detected in handler,index.html:19680 (confirmClearInventoryData); index.html:24492 (loadFinancialHealthCards); index.html:25587 (handleUpdateProductCombined); index.html:25679 (deleteProduct); index.html:26275 (renderPredictiveMonitor),NOT TESTED
GET,/products/inventory-summary,4060,inventory_summary,AUTHENTICATED,any authenticated,warehouse:Optional[str],dynamic JSON/HTML/FileResponse,"products, users, warehouse_stocks",none detected in handler,index.html:19680 (confirmClearInventoryData); index.html:24398 (loadInventoryView); index.html:25587 (handleUpdateProductCombined); index.html:25679 (deleteProduct),NOT TESTED
GET,/products/predictive-forecast,4275,predictive_forecast,PUBLIC,none,query/path params or none,dynamic JSON/HTML/FileResponse,"business_days, products, sales, users",none detected in handler,index.html:19680 (confirmClearInventoryData); index.html:25587 (handleUpdateProductCombined); index.html:25679 (deleteProduct),NOT TESTED
DELETE,/products/{product_id},4186,delete_product,AUTHENTICATED,"manager,staff",product_id:int,dynamic JSON/HTML/FileResponse,"product_deletion_requests, products, users",none detected in handler,index.html:19680 (confirmClearInventoryData); index.html:24398 (loadInventoryView); index.html:24492 (loadFinancialHealthCards); index.html:25587 (handleUpdateProductCombined); index.html:25679 (deleteProduct); index.html:26275 (renderPredictiveMonitor),NOT TESTED
PATCH,/products/{product_id},4110,update_product,AUTHENTICATED,staff,product_id:int; data:ProductUpdate,dynamic JSON/HTML/FileResponse,"products, users, warehouse_stocks, warehouses",none detected in handler,index.html:19680 (confirmClearInventoryData); index.html:24398 (loadInventoryView); index.html:24492 (loadFinancialHealthCards); index.html:25587 (handleUpdateProductCombined); index.html:25679 (deleteProduct); index.html:26275 (renderPredictiveMonitor),NOT TESTED
PATCH,/products/{product_id}/stock,4220,update_stock,AUTHENTICATED,any authenticated,product_id:int; data:StockUpdate,dynamic JSON/HTML/FileResponse,"products, users, warehouse_stocks, warehouses",none detected in handler,index.html:25426 (adjustQuickStock),NOT TESTED
PATCH,/products/{product_id}/transfer,4245,transfer_stock,AUTHENTICATED,staff,product_id:int; data:StockTransfer,dynamic JSON/HTML/FileResponse,"products, users, warehouse_stocks",none detected in handler,index.html:26474 (handleStockTransfer),NOT TESTED
GET,/products/{product_id}/warehouse-stocks,4266,product_warehouse_stocks,AUTHENTICATED,any authenticated,product_id:int,dynamic JSON/HTML/FileResponse,"products, users, warehouse_stocks, warehouses",none detected in handler,none statically matched,NOT TESTED
